TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,ShippingType,ShippingTypeDescription,Purpose,OutOfPolicy,EntitiyCode,EmployeeNumber,BusinessUnit,HotelNights,NetCosts,Departure_CO2e,Return_CO2e,Hotel_CO2e,Spend_CO2e,TotalCO2e,HighCarbon
54,CN,Beijing,IN,New Delhi,10,Economy Flight,Enablement,No,7000,M1000-M5484,Office Management,5,3150,539.7168999,539.7168999,294.5,5152.977401,1373.9338,0
56,US,New York,CA,Toronto,13,BMW 3 diesel,Conference/Exhibition,No,8000,M1000-M5518,Ecosystem,2,1350,224.2481048,225.8215162,14.8,377.2972323,464.869621,0
57,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,8000,M1000-M5527,Office Management,2,1200,891.4661434,891.4661434,49,1443.23966,1831.932287,0
58,DE,Berlin,IT,Rome,4,Train,Conference/Exhibition,Yes,7000,M1000-M5530,Customer Support,3,2550,44.06985417,42.64448067,42.9,835.8821408,129.6143348,0
59,CN,Beijing,IN,New Delhi,4,Train,Customer Visit,Yes,6000,M1000-M5549,Sales,4,3300,236.6405508,324.046749,235.6,2247.789423,796.2872998,0
60,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Customer Visit,No,7000,M1001-M5002,Sales,6,450,251.2322036,251.2322036,336,11.70688285,838.4644072,0
61,US,New York,MX,Mexico City,13,BMW 3 diesel,Conference/Exhibition,Yes,6000,M1001-M5003,Sales,1,2850,1176.769263,1177.127347,19.3,381.8591215,2373.19661,0
62,DE,Berlin,GB,London,12,Business Class Flight,Customer Visit,Yes,8000,M1001-M5003,Sales,6,3000,213.7416528,213.7416528,62.4,2537.583874,489.8833056,0
63,AU,Sydney,SG,Singapore,12,Business Class Flight,Conference/Exhibition,No,7000,M1001-M5003,Services,4,2250,2585.157414,2585.157414,98,2706.074362,5268.314828,1
66,DE,Berlin,NL,Amsterdam,13,BMW 3 diesel,Conference/Exhibition,Yes,8000,M1001-M5028,Marketing,2,1500,186.5968696,188.7758112,29.6,243.6995731,404.9726808,0
67,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,6000,M1001-M5029,Operations,3,3450,1053.713528,1053.713528,154.2,5701.287676,2261.627056,0
69,DE,Berlin,GB,London,12,Business Class Flight,Customer Visit,Yes,6000,M1001-M5046,Value Engineering,5,2250,213.7416528,213.7416528,52,1903.187905,479.4833056,0
70,DE,Berlin,ES,Madrid,15,Volkswagen Golf petrol,Customer Visit,No,10000,M1001-M5051,Marketing,2,3600,507.5120232,523.6552776,14,721.422506,1045.167301,0
71,US,New York,CA,Toronto,14,Volkswagen Golf diesel,Customer Visit,Yes,9000,M1001-M5056,Customer Support,2,2700,172.195296,173.4034848,14.8,754.5944646,360.3987808,0
74,AU,Sydney,AU,Melbourne,14,Volkswagen Golf diesel,Conference/Exhibition,Yes,7000,M1001-M5074,Sales,3,3450,191.0209392,190.4271096,105,890.2270588,486.4480488,0
75,AU,Sydney,US,Los Angeles,12,Business Class Flight,Conference/Exhibition,Yes,7000,M1001-M5078,Sales,4,900,4954.349478,4954.349478,64.4,709.3903162,9973.098956,1
76,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,10000,M1001-M5085,Customer Support,1,3450,2336.832592,2336.832592,13.2,1908.059665,4686.865184,1
77,ZA,Cape Town,ZA,Johannesburg,13,BMW 3 diesel,Internal Business Trip,No,9000,M1001-M5087,Ecosystem,2,2400,395.3378272,395.7721365,102.8,1028.033739,893.9099637,0
79,ZA,Cape Town,ZA,Johannesburg,14,Volkswagen Golf diesel,Partner Visit,No,10000,M1001-M5097,Sales,3,3600,303.5714136,303.9049104,154.2,1542.050609,761.676324,0
81,DE,Berlin,ES,Madrid,16,BMW 3 plugin hybrid,Conference/Exhibition,Yes,9000,M1001-M5112,Marketing,4,1800,660.9275167,681.9507054,28,360.711253,1370.878222,0
82,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,8000,M1001-M5119,Sales,2,1800,891.4661434,891.4661434,49,2164.85949,1831.932287,0
83,ZA,Cape Town,ZA,Johannesburg,15,Volkswagen Golf petrol,Conference/Exhibition,Yes,9000,M1001-M5131,Sales,5,450,303.5714136,303.9049104,257,192.7563261,864.476324,0
84,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,7000,M1001-M5133,Customer Support,6,3000,1053.713528,1053.713528,308.4,4957.641457,2415.827056,0
85,AU,Sydney,CN,Beijing,10,Economy Flight,Customer Visit,No,6000,M1001-M5139,Sales,4,1350,1269.822033,1269.822033,214,1958.019314,2753.644066,0
88,CN,Beijing,RU,Moscow,12,Business Class Flight,Internal Business Trip,No,10000,M1001-M5154,Executive Management,3,2700,2380.449255,2380.449255,72.6,3401.396745,4833.49851,1
89,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Conference/Exhibition,No,10000,M1001-M5156,Customer Support,2,1350,6776.567059,6776.567059,26.4,746.6320427,13579.53412,1
90,US,New York,CA,Toronto,13,BMW 3 diesel,Conference/Exhibition,No,8000,M1001-M5157,Operations,3,750,224.2481048,225.8215162,22.2,209.6095735,472.269621,0
91,CN,Beijing,IN,New Delhi,12,Business Class Flight,Enablement,Yes,6000,M1001-M5165,Sales,5,900,1565.121857,1565.121857,294.5,1472.279257,3424.743714,0
92,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,10000,M1001-M5170,Executive Management,1,3900,891.4661434,891.4661434,24.5,4690.528894,1807.432287,0
93,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Enablement,No,8000,M1001-M5178,Customer Support,5,1500,931.1466752,931.1466752,80.5,1182.317194,1942.79335,0
94,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,9000,M1001-M5187,Sales,5,450,2336.832592,2336.832592,66,248.8773476,4739.665184,1
95,AU,Sydney,CN,Beijing,4,Train,Conference/Exhibition,No,10000,M1001-M5195,Marketing,2,1350,532.2308159,476.647679,107,1423.734186,1115.878495,0
98,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,10000,M1001-M5214,Sales,3,3600,891.4661434,891.4661434,73.5,4329.718979,1856.432287,0
99,DE,Berlin,NL,Amsterdam,17,Fiat 500 electric,Internal Business Trip,Yes,7000,M1001-M5221,Sales,2,450,119.1275564,120.5186408,29.6,73.10987194,269.2461972,0
100,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,8000,M1001-M5224,Sales,4,3000,2336.832592,2336.832592,52.8,1659.182317,4726.465184,1
103,AU,Sydney,CN,Beijing,10,Economy Flight,Enablement,No,6000,M1001-M5231,Services,4,1350,1269.822033,1269.822033,214,1958.019314,2753.644066,0
104,US,New York,CA,Toronto,12,Business Class Flight,Conference/Exhibition,Yes,8000,M1001-M5234,Services,3,2400,124.2912857,124.2912857,22.2,2444.666593,270.7825714,0
105,AU,Sydney,AU,Melbourne,17,Fiat 500 electric,Customer Visit,No,7000,M1001-M5249,Marketing,5,3600,158.816768,158.323052,175,928.9325831,492.13982,0
108,US,New York,CA,Toronto,12,Business Class Flight,Conference/Exhibition,No,9000,M1001-M5277,Marketing,2,3150,124.2912857,124.2912857,14.8,3208.624903,263.3825714,0
109,CN,Beijing,RU,Moscow,10,Economy Flight,Conference/Exhibition,No,9000,M1001-M5282,Operations,5,2850,820.8745452,820.8745452,121,3590.363231,1762.74909,0
110,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,9000,M1001-M5282,Marketing,3,2700,891.4661434,891.4661434,73.5,3247.289235,1856.432287,0
111,US,New York,CA,Toronto,12,Business Class Flight,Customer Visit,Yes,8000,M1001-M5289,Sales,1,3000,124.2912857,124.2912857,7.4,3055.833241,255.9825714,0
112,US,New York,CA,Toronto,12,Business Class Flight,Conference/Exhibition,No,9000,M1001-M5290,Customer Support,3,1500,124.2912857,124.2912857,22.2,1527.916621,270.7825714,0
113,CN,Beijing,RU,Moscow,10,Economy Flight,Enablement,No,6000,M1001-M5291,Value Engineering,2,3150,820.8745452,820.8745452,48.4,3968.296202,1690.14909,0
114,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Partner Visit,No,7000,M1001-M5291,Sales,5,3150,931.1466752,931.1466752,80.5,2482.866107,1942.79335,0
115,DE,Berlin,ES,Madrid,12,Business Class Flight,Partner Visit,Yes,10000,M1001-M5292,Sales,3,750,411.5677048,411.5677048,21,788.5638975,844.1354096,0
116,US,New York,CA,Toronto,12,Business Class Flight,Customer Visit,Yes,8000,M1001-M5307,Customer Support,2,1500,124.2912857,124.2912857,14.8,1527.916621,263.3825714,0
117,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,8000,M1001-M5332,Sales,3,3300,931.1466752,931.1466752,48.3,2601.097826,1910.59335,0
119,US,New York,MX,Mexico City,13,BMW 3 diesel,Customer Visit,No,6000,M1001-M5335,Marketing,3,2400,1176.769263,1177.127347,57.9,321.565576,2411.79661,0
120,US,New York,MX,Mexico City,12,Business Class Flight,Customer Visit,No,6000,M1001-M5337,Sales,4,3150,743.2958481,743.2958481,77.2,2556.316666,1563.791696,0
121,DE,Berlin,ES,Madrid,16,BMW 3 plugin hybrid,Customer Visit,No,10000,M1001-M5342,Marketing,4,3750,660.9275167,681.9507054,28,751.4817771,1370.878222,0
123,DE,Hamburg,FR,Paris,13,BMW 3 diesel,Customer Visit,No,7000,M1001-M5349,Customer Support,3,450,256.1062734,258.8099699,20.1,0,535.0162433,0
124,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,6000,M1001-M5364,Product Management,1,3000,1708.458757,1708.458757,16.1,2364.634387,3433.017514,0
125,DE,Berlin,GB,London,4,Train,Internal Business Trip,Yes,6000,M1001-M5364,Operations,5,1500,57.40440417,58.02793479,52,222.5095947,167.432339,0
126,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,8000,M1001-M5369,Sales,5,450,931.1466752,931.1466752,80.5,354.6951581,1942.79335,0
127,AU,Sydney,AU,Brisbane,14,Volkswagen Golf diesel,Customer Visit,No,6000,M1001-M5374,Executive Management,1,2400,199.45926,199.5385392,35,619.2883887,433.9977992,0
128,AU,Sydney,AU,Perth,13,BMW 3 diesel,Conference/Exhibition,No,9000,M1001-M5374,Value Engineering,1,2400,1111.772751,1111.090996,35,619.2883887,2257.863747,0
129,CN,Beijing,GB,London,10,Economy Flight,Conference/Exhibition,No,6000,M1001-M5377,Sales,5,3150,1154.914373,1154.914373,52,2664.463068,2361.828746,0
131,DE,Hamburg,FR,Paris,13,BMW 3 diesel,Conference/Exhibition,No,7000,M1001-M5380,Sales,5,3600,256.1062734,258.8099699,33.5,0,548.4162433,0
132,US,New York,CA,Toronto,13,BMW 3 diesel,Customer Visit,Yes,6000,M1001-M5384,Sales,1,750,224.2481048,225.8215162,7.4,209.6095735,457.469621,0
133,DE,Berlin,GB,London,12,Business Class Flight,Customer Visit,No,6000,M1001-M5384,Sales,2,1800,213.7416528,213.7416528,20.8,1522.550324,448.2833056,0
134,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,9000,M1001-M5388,Legal,5,3000,891.4661434,891.4661434,122.5,3608.09915,1905.432287,0
135,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,8000,M1001-M5394,Ecosystem,4,300,1708.458757,1708.458757,64.4,236.4634387,3481.317514,1
136,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,7000,M1001-M5401,Sales,3,1050,2336.832592,2336.832592,39.6,580.713811,4713.265184,1
137,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Internal Business Trip,No,9000,M1001-M5402,Executive Management,2,1200,1053.713528,1053.713528,102.8,1983.056583,2210.227056,0
138,US,New York,DE,Berlin,4,Train,Internal Business Trip,No,8000,M1001-M5404,Sales,2,3150,0,0,26.4,314.699114,26.4,0
139,AU,Sydney,CN,Beijing,14,Volkswagen Golf diesel,Conference/Exhibition,No,7000,M1001-M5405,Customer Support,2,2550,2540.903279,2540.903279,107,2242.606527,5188.806558,1
142,ZA,Cape Town,ZA,Johannesburg,14,Volkswagen Golf diesel,Internal Business Trip,No,8000,M1001-M5426,Office Management,3,1800,303.5714136,303.9049104,154.2,771.0253045,761.676324,0
143,CN,Beijing,GB,London,10,Economy Flight,Customer Visit,No,7000,M1001-M5444,Sales,5,3750,1154.914373,1154.914373,52,3171.979842,2361.828746,0
145,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Conference/Exhibition,No,6000,M1001-M5446,Marketing,3,3150,747.571188,747.6059136,48.3,327.4840497,1543.477102,0
146,DE,Berlin,FR,Paris,14,Volkswagen Golf diesel,Conference/Exhibition,No,8000,M1001-M5465,Services,5,3450,230.3613312,230.299524,33.5,0,494.1608552,0
148,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Internal Business Trip,No,8000,M1001-M5468,Executive Management,2,750,931.1466752,931.1466752,32.2,591.1585968,1894.49335,0
149,CN,Beijing,RU,Moscow,13,BMW 3 diesel,Internal Business Trip,No,8000,M1001-M5469,Sales,3,2550,2047.53958,2047.53958,72.6,1179.236533,4167.67916,1
150,CN,Beijing,IN,New Delhi,13,BMW 3 diesel,Conference/Exhibition,No,7000,M1001-M5469,Office Management,2,3600,1642.80992,1642.80992,117.8,1694.443774,3403.41984,0
151,AU,Sydney,CN,Beijing,12,Business Class Flight,Conference/Exhibition,Yes,7000,M1001-M5470,Marketing,3,3150,3682.349429,3682.349429,160.5,4568.711733,7525.198858,1
152,US,New York,MX,Mexico City,12,Business Class Flight,Conference/Exhibition,Yes,8000,M1001-M5488,Sales,6,2250,743.2958481,743.2958481,115.8,1825.940475,1602.391696,0
153,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Conference/Exhibition,No,6000,M1001-M5489,Marketing,3,450,6776.567059,6776.567059,39.6,248.8773476,13592.73412,1
154,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Customer Visit,No,6000,M1001-M5505,Marketing,2,2700,1123.944467,1123.944467,38,2663.197057,2285.888934,0
155,ES,Madrid,PT,Lisbon,15,Volkswagen Golf petrol,Customer Visit,No,7000,M1001-M5507,Product Management,1,3450,137.202156,138.5909616,19,918.3372013,294.7931176,0
156,MX,Mexico City,US,Miami,13,BMW 3 diesel,Customer Visit,No,6000,M1001-M5527,Marketing,3,2550,973.5540169,973.5992397,48.3,265.1061355,1995.453257,0
158,AU,Sydney,AU,Melbourne,14,Volkswagen Golf diesel,Customer Visit,No,10000,M1001-M5533,Sales,5,2400,191.0209392,190.4264544,175,619.2883887,556.4473936,0
159,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,10000,M1001-M5533,Value Engineering,4,900,1708.458757,1708.458757,64.4,709.3903162,3481.317514,1
162,AU,Sydney,US,Los Angeles,12,Business Class Flight,Customer Visit,No,9000,M1001-M5555,Operations,1,3600,4954.349478,4954.349478,16.1,2837.561265,9924.798956,1
163,CN,Beijing,GB,London,13,BMW 3 diesel,Customer Visit,No,8000,M1002-M5008,Sales,3,1200,2871.50432,2871.50432,31.2,0,5774.20864,1
164,CN,Beijing,US,New York,4,Train,Conference/Exhibition,No,10000,M1002-M5011,Value Engineering,1,3150,1073.043899,1073.043899,16.1,1125.195722,2162.187798,0
165,AU,Sydney,AU,Melbourne,14,Volkswagen Golf diesel,Conference/Exhibition,No,7000,M1002-M5020,Sales,3,900,191.0209392,190.4264544,105,232.2331458,486.4473936,0
166,DE,Berlin,GB,London,12,Business Class Flight,Partner Visit,No,6000,M1002-M5023,Sales,1,2550,213.7416528,213.7416528,10.4,2156.946293,437.8833056,0
169,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,7000,M1002-M5034,Customer Support,3,2550,891.4661434,891.4661434,73.5,3066.884277,1856.432287,0
170,BR,Ṣo Paulo,JP,Tokyo,10,Economy Flight,Customer Visit,No,10000,M1002-M5036,Ecosystem,3,1200,2626.029215,2626.029215,117,772.4576779,5369.05843,1
171,CN,Beijing,AU,Sydney,12,Business Class Flight,Conference/Exhibition,No,6000,M1002-M5038,Executive Management,1,1800,3682.349429,3682.349429,35,2162.115328,7399.698858,1
173,AU,Sydney,US,Los Angeles,12,Business Class Flight,Conference/Exhibition,No,6000,M1002-M5041,Customer Support,5,2250,4954.349478,4954.349478,80.5,1773.47579,9989.198956,1
174,CN,Beijing,IN,New Delhi,10,Economy Flight,Enablement,No,7000,M1002-M5046,Sales,3,1800,539.7168999,539.7168999,176.7,2944.558515,1256.1338,0
175,BR,Ṣo Paulo,JP,Tokyo,10,Economy Flight,Internal Business Trip,No,8000,M1002-M5051,Sales,2,3150,2626.029215,2626.029215,78,2027.701404,5330.05843,1
177,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,6000,M1002-M5052,Services,4,300,1708.458757,1708.458757,64.4,236.4634387,3481.317514,1
178,DE,Berlin,ES,Madrid,13,BMW 3 diesel,Conference/Exhibition,No,6000,M1002-M5055,Operations,1,3450,660.9275167,681.9507054,7,691.3632349,1349.878222,0
179,CN,Beijing,RU,Moscow,12,Business Class Flight,Partner Visit,No,6000,M1002-M5055,Marketing,2,3300,2380.449255,2380.449255,48.4,4157.262688,4809.29851,1
180,DE,Berlin,FR,Paris,17,Fiat 500 electric,Internal Business Trip,No,6000,M1002-M5055,Operations,3,3000,191.5247734,191.4733863,20.1,0,403.0981597,0
182,CN,Beijing,IN,New Delhi,12,Business Class Flight,Customer Visit,No,7000,M1002-M5063,Legal,5,3600,1565.121857,1565.121857,294.5,5889.11703,3424.743714,0
184,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,8000,M1002-M5079,Sales,1,1800,2336.832592,2336.832592,13.2,995.5093902,4686.865184,1
185,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,7000,M1002-M5084,Sales,3,3150,931.1466752,931.1466752,48.3,2482.866107,1910.59335,0
187,AU,Sydney,NZ,Auckland,10,Economy Flight,Conference/Exhibition,No,8000,M1002-M5087,Operations,2,2700,320.0854747,320.0854747,20.8,3085.775586,660.9709494,0
188,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Customer Visit,No,8000,M1002-M5092,Sales,3,1800,747.571188,747.6059136,48.3,187.1337427,1543.477102,0
190,CN,Beijing,IN,New Delhi,12,Business Class Flight,Conference/Exhibition,Yes,9000,M1002-M5096,Sales,2,1500,1565.121857,1565.121857,117.8,2453.798762,3248.043714,0
192,AU,Sydney,US,Los Angeles,10,Economy Flight,Enablement,No,7000,M1002-M5104,Sales,3,900,1708.458757,1708.458757,48.3,709.3903162,3465.217514,0
195,MX,Mexico City,US,Miami,13,BMW 3 diesel,Enablement,No,10000,M1002-M5117,Marketing,3,3900,973.5540169,973.5992397,48.3,405.4564425,1995.453257,0
196,US,New York,CA,Toronto,15,Volkswagen Golf petrol,Enablement,No,9000,M1002-M5122,Operations,1,450,172.195296,173.4034848,7.4,125.7657441,352.9987808,0
198,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,9000,M1002-M5131,Office Management,3,450,2336.832592,2336.832592,39.6,248.8773476,4713.265184,1
199,US,New York,MX,Mexico City,12,Business Class Flight,Customer Visit,Yes,10000,M1002-M5135,Marketing,3,750,743.2958481,743.2958481,57.9,608.6468251,1544.491696,0
200,AU,Sydney,AU,Perth,17,Fiat 500 electric,Internal Business Trip,No,10000,M1002-M5140,Sales,2,2700,709.780241,709.3449937,70,696.6994373,1489.125235,0
201,US,New York,MX,Mexico City,13,BMW 3 diesel,Internal Business Trip,No,7000,M1002-M5142,Services,2,2400,1176.769263,1177.127347,38.6,321.565576,2392.49661,0
202,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,9000,M1002-M5143,Legal,3,3000,2336.832592,2336.832592,39.6,1659.182317,4713.265184,1
203,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Customer Visit,No,7000,M1002-M5144,Sales,2,450,251.2322036,251.2322036,112,11.70688285,614.4644072,0
205,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Enablement,No,6000,M1002-M5151,Value Engineering,5,2700,1123.944467,1123.944467,95,2663.197057,2342.888934,0
206,CN,Beijing,IN,New Delhi,13,BMW 3 diesel,Customer Visit,No,8000,M1002-M5158,Sales,4,2700,1642.80992,1642.80992,235.6,1270.832831,3521.21984,1
