TripID,EmployeeNumber,TravelRequestID,ExpenseRequestID,ExpenseDenialReason,ExpenseReimbursementReason,ExpenseReimbursementAmount,ReasonForTransportCancellation,NewTransportSelection,ReasonForNewTransport,NewHotelSelection,ReasonForNewHotel,NewModeOfTransportation,TransportationPriceDifference,ReasonForTransportationChange,ReasonForDelay,ExtensionLength,DaysPreapproved,ProcessCode
53,M1000-M5465,TR000053,EXP000053,Late submission,,546.09,,,,,,,,,,2,4,V18
54,M1000-M5484,TR000054,EXP000054,,Standard travel reimbursement,502.64,,,,,,,,,,,1,V1
56,M1000-M5518,TR000056,EXP000056,,Policy exception approved,520.92,Personal emergency,,,,,Updated BMW 3 diesel,-100.35,Cost optimization,,,2,V12
57,M1000-M5527,TR000057,EXP000057,,Partial reimbursement,221.24,,,,,,,,,,,3,V1
58,M1000-M5530,TR000058,EXP000058,,Standard travel reimbursement,391.14,,,,,,,,,,4,2,V17
59,M1000-M5549,TR000059,EXP000059,Out of policy,Partial reimbursement,143.48,,,,,,,,,,,3,V1
60,M1001-M5002,TR000060,EXP000060,,Policy exception approved,141.9,,Rebooked flight,Better schedule,,,,,,,,2,V23
61,M1001-M5003,TR000061,EXP000061,,Policy exception approved,417.27,,,,,,Updated BMW 3 diesel,77.21,Time constraints,,,4,V1
62,M1001-M5003,TR000062,EXP000062,Out of policy,Partial reimbursement,310.97,,,,,,,,,,,2,V1
63,M1001-M5003,TR000063,EXP000063,,Partial reimbursement,302.95,,,,,,,,,,2,2,V18
66,M1001-M5028,TR000066,EXP000066,,Standard travel reimbursement,316.77,,,,,,,,,,,4,V1
67,M1001-M5029,TR000067,EXP000067,,Standard travel reimbursement,512.8,,,,,,,,,,,4,V1
69,M1001-M5046,TR000069,EXP000069,,Partial reimbursement,342.94,Operational issue,Rebooked flight,Missed connection,,,,,,,,3,V1
70,M1001-M5051,TR000070,EXP000070,,Policy exception approved,461.38,,,,New hotel chosen,Rate change,,,,,,4,V1
71,M1001-M5056,TR000071,EXP000071,Personal expense,Policy exception approved,114.91,,,,,,,,,,,3,V1
74,M1001-M5074,TR000074,EXP000074,Personal expense,Partial reimbursement,209.33,,,,,,,,,,,4,V16
75,M1001-M5078,TR000075,EXP000075,,Standard travel reimbursement,294.81,,,,,,,,,,4,3,V17
76,M1001-M5085,TR000076,EXP000076,,Standard travel reimbursement,461.07,,Rebooked flight,Cheaper fare,,,Updated First Class Flight,298.09,Time constraints,,,2,V15
77,M1001-M5087,TR000077,EXP000077,,Partial reimbursement,171.61,,,,,,,,,,,0,V1
79,M1001-M5097,TR000079,EXP000079,,Policy exception approved,455.37,,,,,,,,,,,2,V1
81,M1001-M5112,TR000081,EXP000081,Missing receipt,Partial reimbursement,113.28,,,,,,,,,,4,4,V17
82,M1001-M5119,TR000082,EXP000082,,Partial reimbursement,266.5,,,,,,,,,,,3,V1
83,M1001-M5131,TR000083,EXP000083,Missing receipt,Partial reimbursement,199.43,,,,,,,,,,,4,V16
84,M1001-M5133,TR000084,EXP000084,,Policy exception approved,374.13,,Rebooked flight,Schedule conflict,,,Updated First Class Flight,141.64,Cost optimization,,,1,V15
85,M1001-M5139,TR000085,EXP000085,Late submission,Policy exception approved,424.95,,,,,,,,,,,1,V1
88,M1001-M5154,TR000088,EXP000088,,Standard travel reimbursement,349.26,,,,,,,,,,,4,V1
89,M1001-M5156,TR000089,EXP000089,,Policy exception approved,226.81,,,,,,,,,,,3,V13
90,M1001-M5157,TR000090,EXP000090,,Policy exception approved,177.41,,,,,,,,,,,4,V1
91,M1001-M5165,TR000091,EXP000091,,Policy exception approved,185.96,,Rebooked flight,Schedule conflict,,,Updated Business Class Flight,-45.22,Client preference,,,4,V23
92,M1001-M5170,TR000092,EXP000092,,Partial reimbursement,567.65,,,,,,,,,,,1,V1
93,M1001-M5178,TR000093,EXP000093,,Partial reimbursement,261.58,,,,New hotel chosen,Rate change,,,,,,4,V1
94,M1001-M5187,TR000094,EXP000094,,Partial reimbursement,154.01,,,,,,,,,,,3,V16
95,M1001-M5195,TR000095,EXP000095,,Standard travel reimbursement,233.86,,,,New hotel chosen,Hotel overbooked,,,,,,1,V26
98,M1001-M5214,TR000098,EXP000098,,Partial reimbursement,546.16,,,,,,,,,Weather delay,,1,V22
99,M1001-M5221,TR000099,EXP000099,Personal expense,Partial reimbursement,372.48,,,,,,,,,,,3,V1
100,M1001-M5224,TR000100,EXP000100,,Policy exception approved,418.84,,,,,,,,,,,1,V1
103,M1001-M5231,TR000103,EXP000103,,Standard travel reimbursement,235.02,,Rebooked flight,Schedule conflict,,,Updated Economy Flight,273.14,Time constraints,,,1,V15
104,M1001-M5234,TR000104,EXP000104,Personal expense,Partial reimbursement,210.23,Personal emergency,,,,,,,,,,4,V8
105,M1001-M5249,TR000105,EXP000105,,Policy exception approved,469.41,,,,New hotel chosen,Hotel overbooked,,,,,,4,V1
108,M1001-M5277,TR000108,EXP000108,,Policy exception approved,417.82,,,,,,,,,,,2,V1
109,M1001-M5282,TR000109,EXP000109,,Standard travel reimbursement,433.3,,Rebooked flight,Schedule conflict,Alternative hotel selected,Location preference,,,,,,2,V7
110,M1001-M5282,TR000110,EXP000110,,Policy exception approved,424.24,,,,,,,,,,,3,V22
111,M1001-M5289,TR000111,EXP000111,Out of policy,Partial reimbursement,394.64,,,,,,,,,,4,2,V17
112,M1001-M5290,TR000112,EXP000112,,Standard travel reimbursement,264.65,,,,New hotel chosen,Quality issue,,,,,,2,V1
113,M1001-M5291,TR000113,EXP000113,,Standard travel reimbursement,388,,,,,,,,,Weather delay,,4,V11
114,M1001-M5291,TR000114,EXP000114,,Standard travel reimbursement,388.37,,,,,,,,,,,4,V1
115,M1001-M5292,TR000115,EXP000115,Missing receipt,Policy exception approved,504.72,,,,,,,,,,2,1,V17
116,M1001-M5307,TR000116,EXP000116,Personal expense,Policy exception approved,103.26,,Rebooked flight,Cheaper fare,,,Updated First Class Flight,277.1,Client preference,,,1,V15
117,M1001-M5332,TR000117,EXP000117,,Standard travel reimbursement,442.25,,,,,,,,,Airport congestion,,0,V28
119,M1001-M5335,TR000119,EXP000119,,Policy exception approved,388.65,,,,,,,,,,,4,V1
120,M1001-M5337,TR000120,EXP000120,,Partial reimbursement,403.11,,,,New hotel chosen,Location preference,,,,,,4,V1
121,M1001-M5342,TR000121,EXP000121,,Standard travel reimbursement,548.02,,,,,,,,,,,2,V1
123,M1001-M5349,TR000123,EXP000123,,Partial reimbursement,300.88,,,,New hotel chosen,Rate change,,,,,,0,V1
124,M1001-M5364,TR000124,EXP000124,,Standard travel reimbursement,507.34,,,,,,,,,Security screening,4,1,V17
125,M1001-M5364,TR000125,EXP000125,Personal expense,Policy exception approved,502.91,,,,,,,,,,,4,V1
126,M1001-M5369,TR000126,EXP000126,,Partial reimbursement,150.98,,,,,,,,,Airport congestion,,2,V1
127,M1001-M5374,TR000127,EXP000127,,Policy exception approved,395.73,,,,,,,,,,,1,V22
128,M1001-M5374,TR000128,EXP000128,Out of policy,Standard travel reimbursement,449.07,,,,,,,,,,,1,V22
129,M1001-M5377,TR000129,EXP000129,,Partial reimbursement,458.94,,,,,,,,,,,3,V1
131,M1001-M5380,TR000131,EXP000131,,Standard travel reimbursement,130,,,,New hotel chosen,Rate change,,,,,,4,V1
132,M1001-M5384,TR000132,EXP000132,,Policy exception approved,504.83,,,,,,,,,,,4,V21
133,M1001-M5384,TR000133,EXP000133,,Policy exception approved,305.53,,,,,,,,,,,1,V13
134,M1001-M5388,TR000134,EXP000134,,Policy exception approved,384.16,,,,,,,,,,,4,V22
135,M1001-M5394,TR000135,EXP000135,,Policy exception approved,134.55,,,,,,,,,,,3,V1
136,M1001-M5401,TR000136,EXP000136,,Standard travel reimbursement,205.23,,,,,,,,,,,4,V1
137,M1001-M5402,TR000137,EXP000137,,Standard travel reimbursement,233.88,,,,,,,,,,,4,V1
138,M1001-M5404,TR000138,EXP000138,,Policy exception approved,472.74,,,,,,,,,,,0,V1
139,M1001-M5405,TR000139,EXP000139,,Partial reimbursement,362.79,Personal emergency,,,,,,,,,,1,V8
142,M1001-M5426,TR000142,EXP000142,,Standard travel reimbursement,317.42,,,,,,,,,,,4,V20
143,M1001-M5444,TR000143,EXP000143,Out of policy,Standard travel reimbursement,270.13,,Rebooked flight,Better schedule,Alternative hotel selected,Location preference,,,,,,1,V10
145,M1001-M5446,TR000145,EXP000145,,Policy exception approved,462.73,,,,,,,,,,,3,V1
146,M1001-M5465,TR000146,EXP000146,,Partial reimbursement,102.2,,,,,,,,,,,1,V1
148,M1001-M5468,TR000148,EXP000148,,Partial reimbursement,176.34,,,,,,,,,,,2,V21
149,M1001-M5469,TR000149,EXP000149,,Policy exception approved,337.45,,,,,,,,,,,0,V1
150,M1001-M5469,TR000150,EXP000150,,Partial reimbursement,555.16,,,,,,,,,,,3,V20
151,M1001-M5470,TR000151,EXP000151,,Partial reimbursement,397.84,,,,,,,,,Airport congestion,,3,V20
152,M1001-M5488,TR000152,EXP000152,,Partial reimbursement,523.32,,,,,,,,,,,4,V1
153,M1001-M5489,TR000153,EXP000153,,Partial reimbursement,148.58,,,,,,,,,,,2,V1
154,M1001-M5505,TR000154,EXP000154,,Partial reimbursement,421.48,,,,,,,,,,,3,V1
155,M1001-M5507,TR000155,EXP000155,,Policy exception approved,436.34,,,,,,,,,,,0,V1
156,M1001-M5527,TR000156,EXP000156,,Partial reimbursement,424.09,,,,,,,,,,,1,V1
158,M1001-M5533,TR000158,EXP000158,Out of policy,Partial reimbursement,578.61,,,,,,,,,,,0,V14
159,M1001-M5533,TR000159,EXP000159,,Policy exception approved,210.99,Operational issue,Rebooked flight,Route change,,,,,,,4,3,V17
162,M1001-M5555,TR000162,EXP000162,,Standard travel reimbursement,468.85,,,,,,Updated Business Class Flight,327.83,Safety concern,,,4,V1
163,M1002-M5008,TR000163,EXP000163,,Standard travel reimbursement,243.11,,,,,,,,,,,1,V1
164,M1002-M5011,TR000164,EXP000164,,Partial reimbursement,504.91,,,,,,,,,,,0,V1
165,M1002-M5020,TR000165,EXP000165,,Partial reimbursement,204.89,,,,New hotel chosen,Rate change,,,,,,2,V1
166,M1002-M5023,TR000166,EXP000166,,Standard travel reimbursement,330.09,,,,,,,,,,,0,V1
169,M1002-M5034,TR000169,EXP000169,,Standard travel reimbursement,549.43,,Rebooked flight,Route change,Alternative hotel selected,Quality issue,,,,,,1,V7
170,M1002-M5036,TR000170,EXP000170,,Standard travel reimbursement,252.13,,,,,,,,,,,4,V1
171,M1002-M5038,TR000171,EXP000171,,Policy exception approved,302.85,Personal emergency,,,,,,,,Airport congestion,,2,V8
173,M1002-M5041,TR000173,EXP000173,,Standard travel reimbursement,370.46,,,,,,,,,,,0,V14
174,M1002-M5046,TR000174,EXP000174,,Partial reimbursement,283.8,,Rebooked flight,Schedule conflict,,,Updated Economy Flight,174.94,Safety concern,,,2,V15
175,M1002-M5051,TR000175,EXP000175,,Standard travel reimbursement,468.39,,,,,,,,,,2,4,V19
177,M1002-M5052,TR000177,EXP000177,,Policy exception approved,135.97,,,,,,,,,,,3,V6
178,M1002-M5055,TR000178,EXP000178,Late submission,Policy exception approved,148.37,,,,,,,,,,,0,V1
179,M1002-M5055,TR000179,EXP000179,,Policy exception approved,511.04,,,,New hotel chosen,Location preference,,,,,,3,V1
180,M1002-M5055,TR000180,EXP000180,,Partial reimbursement,448.04,,Rebooked rental,Route change,Alternative hotel selected,Location preference,,,,,,3,V24
182,M1002-M5063,TR000182,EXP000182,,Partial reimbursement,478.63,,,,,,,,,,,2,V1
184,M1002-M5079,TR000184,EXP000184,,Policy exception approved,286.39,,,,,,,,,,,4,V25
185,M1002-M5084,TR000185,EXP000185,Out of policy,Policy exception approved,401.87,,,,,,,,,,,1,V1
187,M1002-M5087,TR000187,EXP000187,,Partial reimbursement,400.82,,Rebooked flight,Schedule conflict,,,,,,,,0,V9
188,M1002-M5092,TR000188,EXP000188,,Partial reimbursement,269.84,,,,,,,,,,,2,V1
190,M1002-M5096,TR000190,EXP000190,,Policy exception approved,276.6,,,,,,,,,,,3,V21
192,M1002-M5104,TR000192,EXP000192,,Standard travel reimbursement,395.18,,Rebooked flight,Cheaper fare,,,,,,,,3,V23
195,M1002-M5117,TR000195,EXP000195,,Standard travel reimbursement,578.63,,,,,,,,,Rental desk queue,,4,V11
196,M1002-M5122,TR000196,EXP000196,,Policy exception approved,152.68,Personal emergency,,,,,,,,,,3,V8
198,M1002-M5131,TR000198,EXP000198,Duplicate claim,Partial reimbursement,464.87,,,,,,,,,,,1,V31
199,M1002-M5135,TR000199,EXP000199,,Partial reimbursement,186.09,,,,,,,,,,,0,V1
200,M1002-M5140,TR000200,EXP000200,Missing receipt,Partial reimbursement,368.12,,,,,,,,,,,0,V1
201,M1002-M5142,TR000201,EXP000201,Out of policy,Standard travel reimbursement,586.56,,,,,,,,,,,0,V1
202,M1002-M5143,TR000202,EXP000202,,Policy exception approved,281.19,Operational issue,Rebooked flight,Cheaper fare,,,,,,Airport congestion,,4,V1
203,M1002-M5144,TR000203,EXP000203,,Partial reimbursement,151.81,,,,,,,,,,,4,V1
205,M1002-M5151,TR000205,EXP000205,,Policy exception approved,346.73,Personal emergency,Rebooked flight,Route change,,,,,,,4,2,V19
206,M1002-M5158,TR000206,EXP000206,,Policy exception approved,383.51,,,,,,,,,,,3,V20
208,M1002-M5160,TR000208,EXP000208,Out of policy,Standard travel reimbursement,289.27,,,,,,,,,,,4,V1
209,M1002-M5165,TR000209,EXP000209,,Policy exception approved,454.31,,,,,,,,,,,1,V1
210,M1002-M5165,TR000210,EXP000210,,Policy exception approved,326.27,,,,,,,,,,,3,V1
211,M1002-M5183,TR000211,EXP000211,,Standard travel reimbursement,349.85,,,,,,,,,,,3,V1
213,M1002-M5186,TR000213,EXP000213,Late submission,Partial reimbursement,376.02,,,,,,,,,,,0,V1
215,M1002-M5207,TR000215,EXP000215,Late submission,Standard travel reimbursement,514.7,,,,,,,,,,,1,V1
220,M1002-M5230,TR000220,EXP000220,Late submission,Partial reimbursement,409.26,,,,,,,,,,,3,V22
221,M1002-M5241,TR000221,EXP000221,,Partial reimbursement,572.72,,,,New hotel chosen,Rate change,,,,,,3,V1
222,M1002-M5252,TR000222,EXP000222,,Standard travel reimbursement,265.32,,,,,,,,,,,0,V1
223,M1002-M5252,TR000223,EXP000223,,Partial reimbursement,466.82,,,,,,,,,,,3,V1
224,M1002-M5258,TR000224,EXP000224,,Partial reimbursement,456.69,,Rebooked rental,Route change,,,,,,,,2,V23
225,M1002-M5260,TR000225,EXP000225,,Policy exception approved,316.89,,,,,,,,,,,2,V13
226,M1002-M5267,TR000226,EXP000226,,Policy exception approved,248.66,,,,,,,,,,,4,V1
227,M1002-M5270,TR000227,EXP000227,,Standard travel reimbursement,426.62,,,,,,,,,,,1,V25
228,M1002-M5273,TR000228,EXP000228,,Policy exception approved,383.07,,,,,,,,,Security screening,,3,V1
229,M1002-M5277,TR000229,EXP000229,,Partial reimbursement,260.09,,,,New hotel chosen,Rate change,,,,,,3,V1
230,M1002-M5279,TR000230,EXP000230,Out of policy,,530.85,,,,,,Updated Volkswagen Golf petrol,50.45,Client preference,,2,4,V18
231,M1002-M5296,TR000231,EXP000231,,Standard travel reimbursement,325.7,Operational issue,Rebooked flight,Route change,,,,,,Weather delay,,0,V29
233,M1002-M5302,TR000233,EXP000233,,Policy exception approved,211.99,,,,,,,,,,,4,V20
234,M1002-M5307,TR000234,EXP000234,,Standard travel reimbursement,421.17,,,,,,,,,,,4,V1
235,M1002-M5318,TR000235,EXP000235,,Partial reimbursement,359.01,,,,,,,,,,,2,V1
237,M1002-M5325,TR000237,EXP000237,Personal expense,Partial reimbursement,388.68,,,,,,,,,,,2,V20
238,M1002-M5338,TR000238,EXP000238,,Partial reimbursement,238.12,,,,,,,,,,2,2,V17
240,M1002-M5349,TR000240,EXP000240,,Policy exception approved,137.27,,,,,,,,,Airport congestion,,1,V1
241,M1002-M5356,TR000241,EXP000241,Late submission,Standard travel reimbursement,452.29,,Rebooked flight,Route change,,,Updated Business Class Flight,189.91,Client preference,,,2,V15
242,M1002-M5365,TR000242,EXP000242,,Partial reimbursement,173.39,,,,,,,,,,,1,V1
243,M1002-M5369,TR000243,EXP000243,,Partial reimbursement,308.1,,,,,,,,,,,2,V1
244,M1002-M5369,TR000244,EXP000244,,Standard travel reimbursement,146.34,,,,,,,,,Security screening,,4,V28
245,M1002-M5369,TR000245,EXP000245,,Partial reimbursement,491.16,,,,,,,,,,,1,V1
246,M1002-M5371,TR000246,EXP000246,Late submission,Policy exception approved,122.92,,,,,,,,,,,2,V1
247,M1002-M5372,TR000247,EXP000247,,Partial reimbursement,282.47,,,,,,,,,,,1,V1
249,M1002-M5391,TR000249,EXP000249,,Partial reimbursement,578.13,,,,,,,,,,,1,V32
250,M1002-M5395,TR000250,EXP000250,,Policy exception approved,247.8,,,,,,,,,,,2,V1
254,M1002-M5415,TR000254,EXP000254,,Standard travel reimbursement,417.23,,,,,,,,,,,2,V1
257,M1002-M5435,TR000257,EXP000257,,Partial reimbursement,436.3,,Rebooked rental,Schedule conflict,New hotel chosen,Hotel overbooked,,,,,,1,V23
258,M1002-M5437,TR000258,EXP000258,,Partial reimbursement,518.46,Weather disruption,Rebooked flight,Missed connection,,,,,,,,1,V1
259,M1002-M5447,TR000259,EXP000259,,Standard travel reimbursement,194.26,,,,New hotel chosen,Quality issue,,,,,,4,V1
260,M1002-M5451,TR000260,EXP000260,Missing receipt,Partial reimbursement,139.91,,,,,,,,,,,3,V35
262,M1002-M5461,TR000262,EXP000262,,Policy exception approved,218.6,,,,,,,,,,,0,V1
263,M1002-M5463,TR000263,EXP000263,,Partial reimbursement,383.29,,,,New hotel chosen,Location preference,,,,,,4,V1
264,M1002-M5478,TR000264,EXP000264,,Partial reimbursement,177.23,,Rebooked flight,Better schedule,,,,,,,,4,V9
265,M1002-M5483,TR000265,EXP000265,,Policy exception approved,318.21,,,,,,,,,,,2,V1
266,M1002-M5484,TR000266,EXP000266,Personal expense,Standard travel reimbursement,150.51,,,,,,,,,,,3,V21
267,M1002-M5487,TR000267,EXP000267,Missing receipt,,238.99,,,,New hotel chosen,Location preference,,,,,3,2,V18
268,M1002-M5499,TR000268,EXP000268,,Policy exception approved,452.19,,,,,,,,,,,1,V1
270,M1002-M5517,TR000270,EXP000270,,Standard travel reimbursement,373.83,,,,,,,,,,,2,V1
271,M1002-M5520,TR000271,EXP000271,Late submission,Standard travel reimbursement,417.85,,,,,,Updated Business Class Flight,-74.91,Cost optimization,,,0,V1
272,M1002-M5532,TR000272,EXP000272,,Standard travel reimbursement,487.79,,,,,,,,,,,0,V1
273,M1002-M5534,TR000273,EXP000273,,Policy exception approved,417.66,,,,,,,,,,,3,V20
274,M1002-M5540,TR000274,EXP000274,,Policy exception approved,130.38,,,,,,,,,,,1,V1
275,M1002-M5542,TR000275,EXP000275,,Standard travel reimbursement,514.06,,Rebooked flight,Route change,,,Updated Business Class Flight,254.31,Safety concern,Weather delay,,2,V27
278,M1003-M5003,TR000278,EXP000278,,Partial reimbursement,257.58,,,,,,,,,,,4,V1
280,M1003-M5008,TR000280,EXP000280,,Partial reimbursement,344.8,,,,,,,,,,,1,V1
283,M1003-M5016,TR000283,EXP000283,,Partial reimbursement,420.97,,Rebooked rental,Schedule conflict,,,,,,,,3,V9
284,M1003-M5020,TR000284,EXP000284,,Policy exception approved,533.19,,,,,,,,,,,2,V20
285,M1003-M5026,TR000285,EXP000285,,Standard travel reimbursement,531.57,,,,,,,,,,,1,V1
287,M1003-M5028,TR000287,EXP000287,,Standard travel reimbursement,211.17,,,,,,,,,,,1,V13
289,M1003-M5029,TR000289,EXP000289,Personal expense,Policy exception approved,285.1,,Rebooked rental,Route change,Alternative hotel selected,Location preference,Updated Volkswagen Golf diesel,-71.43,Time constraints,,,1,V10
290,M1003-M5031,TR000290,EXP000290,Personal expense,Standard travel reimbursement,204.76,,,,New hotel chosen,Quality issue,,,,,,1,V1
291,M1003-M5034,TR000291,EXP000291,Personal expense,Partial reimbursement,233.5,,,,,,,,,Airport congestion,,3,V1
292,M1003-M5034,TR000292,EXP000292,,Policy exception approved,458.83,,,,,,,,,,,0,V1
294,M1003-M5036,TR000294,EXP000294,,Partial reimbursement,248.87,,,,,,Updated Economy Flight,60.72,Safety concern,,,3,V1
295,M1003-M5036,TR000295,EXP000295,,Policy exception approved,384.48,,,,New hotel chosen,Quality issue,,,,,,2,V1
296,M1003-M5037,TR000296,EXP000296,,Policy exception approved,503.18,Operational issue,Rebooked flight,Cheaper fare,Alternative hotel selected,Quality issue,,,,,,0,V24
297,M1003-M5038,TR000297,EXP000297,,Policy exception approved,496.53,,,,,,,,,,,0,V1
298,M1003-M5038,TR000298,EXP000298,,Partial reimbursement,281.11,,Rebooked train,Better schedule,,,,,,,,2,V30
299,M1003-M5040,TR000299,EXP000299,Personal expense,Standard travel reimbursement,424.02,,,,New hotel chosen,Hotel overbooked,,,,,,0,V1
300,M1003-M5042,TR000300,EXP000300,,Partial reimbursement,214.81,,,,,,,,,,,2,V1
302,M1003-M5049,TR000302,EXP000302,Out of policy,Policy exception approved,404.57,,,,,,,,,Security screening,,0,V11
303,M1003-M5051,TR000303,EXP000303,,Policy exception approved,436.55,,Rebooked rental,Better schedule,Alternative hotel selected,Location preference,,,,,,3,V5
305,M1003-M5052,TR000305,EXP000305,,Standard travel reimbursement,290.35,,,,,,,,,,,3,V1
306,M1003-M5053,TR000306,EXP000306,Missing receipt,Policy exception approved,185.58,,Rebooked flight,Route change,,,,,,,,0,V9
307,M1003-M5056,TR000307,EXP000307,,Partial reimbursement,172.65,,,,,,,,,,,2,V1
308,M1003-M5057,TR000308,EXP000308,Late submission,Standard travel reimbursement,464.57,,,,,,,,,,,3,V1
309,M1003-M5058,TR000309,EXP000309,,Partial reimbursement,498.11,,,,,,,,,,,4,V1
310,M1003-M5058,TR000310,EXP000310,,Partial reimbursement,149.03,,,,,,,,,,,2,V1
311,M1003-M5058,TR000311,EXP000311,,Policy exception approved,388.56,,Rebooked rental,Better schedule,,,Updated Volkswagen Golf petrol,-1.21,Cost optimization,,,3,V27
313,M1003-M5058,TR000313,EXP000313,,Standard travel reimbursement,504.76,,,,,,,,,Platform delay,,0,V11
314,M1003-M5063,TR000314,EXP000314,,Partial reimbursement,189.33,,Rebooked flight,Route change,,,Updated Business Class Flight,223.2,Client preference,,,1,V15
315,M1003-M5064,TR000315,EXP000315,,Standard travel reimbursement,237.46,,,,,,,,,,,3,V1
319,M1003-M5072,TR000319,EXP000319,,Policy exception approved,509.98,,,,,,Updated Economy Flight,-34.28,Time constraints,,,3,V1
321,M1003-M5073,TR000321,EXP000321,,Partial reimbursement,214.71,,Rebooked flight,Better schedule,,,,,,Mechanical issue,,1,V29
322,M1003-M5077,TR000322,EXP000322,Late submission,Policy exception approved,181.71,,,,,,,,,,,1,V14
323,M1003-M5078,TR000323,EXP000323,,Standard travel reimbursement,465.43,,,,New hotel chosen,Rate change,,,,,,2,V1
