TripID,StepOrder,EventName,EventTimestamp
160,2,Book Lodging,06/04/2024 04:13:35
160,3,Submit Travel Request,06/04/2024 18:13:38
160,4,Travel Request Approved,06/05/2024 09:00:13
160,5,Receive Confirmation,06/05/2024 19:02:03
160,6,Take Departure Flight,06/21/2024 10:51:06
160,7,Take Return Flight,06/25/2024 10:51:06
160,8,Submit Expense Request,06/26/2024 07:07:52
160,9,Expense Request Approved,06/26/2024 07:58:41
160,10,Expense Reimbursement,06/27/2024 04:56:00
161,1,Book Mode of Transportation,11/13/2024 13:24:00
161,2,Book Lodging,11/14/2024 13:42:28
161,3,Submit Travel Request,11/19/2024 14:36:26
161,4,Travel Request Approved,11/19/2024 15:11:15
161,5,Receive Confirmation,11/19/2024 16:11:15
161,6,Take Departure Flight,11/19/2024 16:51:22
161,7,Take Return Flight,11/25/2024 16:51:22
161,8,Submit Expense Request,11/26/2024 07:09:40
161,9,Expense Request Approved,11/26/2024 07:16:05
161,10,Expense Reimbursement,11/27/2024 01:36:59
167,1,Manager Preapproved,08/07/2024 10:35:00
167,2,Book Mode of Transportation,07/27/2024 13:38:31
167,3,Submit Travel Request,08/08/2024 14:11:25
167,4,Travel Request Approved,08/08/2024 14:47:20
167,5,Receive Confirmation,08/08/2024 15:47:20
167,6,Take Departure Flight,08/08/2024 16:07:26
167,7,Take Return Flight,08/12/2024 16:07:26
167,8,Submit Expense Request,08/13/2024 10:29:22
167,9,Expense Request Approved,08/13/2024 11:21:36
167,10,Expense Reimbursement,08/13/2024 18:01:59
168,1,Book Mode of Transportation,11/14/2024 01:48:34
168,2,Flight Change,12/02/2024 13:30:30
168,3,Book Lodging,11/14/2024 21:01:45
168,4,Hotel Change,12/02/2024 14:00:42
168,5,Submit Travel Request,11/14/2024 23:03:30
168,6,Travel Request Approved,11/15/2024 15:36:11
168,7,Receive Confirmation,11/16/2024 08:22:33
168,8,Take Departure Flight,12/02/2024 16:36:07
168,9,Take Return Flight,12/06/2024 16:36:07
168,10,Submit Expense Request,12/06/2024 23:49:22
168,11,Expense Request Approved,12/09/2024 00:44:51
168,12,Expense Reimbursement,12/09/2024 02:28:51
172,1,Book Mode of Transportation,11/09/2024 15:12:00
172,2,Book Lodging,11/17/2024 16:02:43
172,3,Submit Travel Request,11/22/2024 16:33:14
172,4,Travel Request Approved,11/22/2024 16:58:45
172,5,Receive Confirmation,11/22/2024 17:58:45
172,6,Take Departure Flight,11/22/2024 18:03:07
172,7,Take Return Flight,11/25/2024 18:03:07
172,8,Submit Expense Request,11/26/2024 12:52:12
172,9,Expense Request Approved,11/26/2024 12:53:13
172,10,Expense Reimbursement,11/27/2024 04:49:40
176,1,Book Mode of Transportation,02/17/2024 22:52:06
176,2,Book Lodging,02/18/2024 19:34:56
176,3,Submit Travel Request,02/19/2024 05:09:11
176,4,Travel Request Approved,02/20/2024 04:08:33
176,5,Receive Confirmation,02/20/2024 15:50:44
176,6,Take Departure Flight,03/15/2024 02:14:21
176,7,Take Return Flight,03/18/2024 02:14:21
176,8,Submit Expense Request,03/18/2024 19:07:17
176,9,Expense Request Approved,03/18/2024 19:36:57
176,10,Expense Reimbursement,03/19/2024 10:23:59
181,1,Book Mode of Transportation,07/12/2024 06:35:00
181,2,Book Lodging,07/18/2024 07:25:30
181,3,Submit Travel Request,07/22/2024 08:18:56
181,4,Travel Request Approved,07/22/2024 08:37:05
181,5,Receive Confirmation,07/22/2024 09:37:05
181,6,Take Departure Flight,07/22/2024 09:51:24
181,7,Take Return Flight,07/29/2024 09:51:24
181,8,Submit Expense Request,07/30/2024 09:18:52
181,9,Expense Request Approved,07/30/2024 09:52:14
181,10,Expense Reimbursement,07/30/2024 18:23:35
183,1,Manager Preapproved,07/12/2024 21:41:00
183,2,Trip Extension,07/15/2024 21:01:16
183,3,Book Mode of Transportation,07/09/2024 21:01:16
183,4,Book Lodging,07/11/2024 21:34:46
183,5,Submit Travel Request,07/18/2024 22:16:54
183,6,Travel Request Approved,07/18/2024 22:57:36
183,7,Receive Confirmation,07/18/2024 23:57:36
183,8,Pickup Rental,07/19/2024 00:48:15
183,9,Return Rental,07/24/2024 00:48:15
183,10,Submit Expense Request,07/24/2024 05:28:08
183,11,Expense Request Approved,07/24/2024 05:46:29
183,12,Expense Reimbursement,07/24/2024 14:55:22
186,1,Book Mode of Transportation,02/23/2024 16:12:31
186,2,Book Lodging,02/24/2024 14:07:10
186,3,Submit Travel Request,02/24/2024 22:12:50
186,4,Travel Request Approved,02/25/2024 02:01:28
186,5,Receive Confirmation,02/25/2024 11:02:53
186,6,Take Departure Flight,03/25/2024 01:08:32
186,7,Hotel Change,03/27/2024 01:08:32
186,8,Take Return Flight,03/27/2024 02:02:37
186,9,Submit Expense Request,03/27/2024 18:43:48
186,10,Expense Request Approved,03/27/2024 19:27:34
186,11,Expense Reimbursement,03/28/2024 11:21:10
189,1,Book Mode of Transportation,05/04/2024 06:50:00
189,2,Book Lodging,05/09/2024 06:53:14
189,3,Submit Travel Request,05/14/2024 06:53:20
189,4,Travel Request Approved,05/14/2024 07:39:23
189,5,Receive Confirmation,05/14/2024 08:39:23
189,6,Take Departure Flight,05/14/2024 09:06:50
189,7,Take Return Flight,05/20/2024 09:06:50
189,8,Submit Expense Request,05/21/2024 00:24:06
189,9,Expense Request Approved,05/21/2024 00:30:50
189,10,Expense Reimbursement,05/21/2024 15:40:39
191,1,Book Mode of Transportation,03/11/2024 23:51:00
191,2,Book Lodging,03/17/2024 00:03:40
191,3,Submit Travel Request,04/02/2024 00:34:51
191,4,Travel Request Approved,04/02/2024 00:47:26
191,5,Receive Confirmation,04/02/2024 01:47:26
191,6,Pickup Rental,04/02/2024 01:52:01
191,7,Return Rental,04/05/2024 01:52:01
191,8,Submit Expense Request,04/08/2024 00:34:06
191,9,Expense Request Approved,04/08/2024 00:46:02
191,10,Expense Reimbursement,04/08/2024 13:22:57
193,1,Book Mode of Transportation,03/22/2024 10:50:29
193,2,Book Lodging,03/22/2024 20:29:53
193,3,Submit Travel Request,03/23/2024 02:27:48
193,4,Travel Request Approved,03/23/2024 07:15:43
193,5,Receive Confirmation,03/23/2024 08:21:31
193,6,Take Departure Flight,04/18/2024 21:26:01
193,7,Take Return Flight,04/22/2024 21:26:01
193,8,Submit Expense Request,04/23/2024 03:12:28
193,9,Expense Request Approved,04/23/2024 03:40:32
193,10,Expense Reimbursement,04/24/2024 00:30:26
194,1,Book Mode of Transportation,10/08/2024 05:23:00
194,2,Book Lodging,10/12/2024 05:30:14
194,3,Submit Travel Request,10/21/2024 05:49:20
194,4,Travel Request Approved,10/21/2024 05:49:45
194,5,Receive Confirmation,10/21/2024 06:49:45
194,6,Pickup Rental,10/21/2024 06:58:53
194,7,Return Rental,10/24/2024 06:58:53
